"Reference","Value","Footprint","Datasheet","MIN_ORDER","Note","PRICE_FRACTION","UNIT_PRICE","URL","Qty"
"Bias1","50kB","dvhx-kicad-library-2:P_Daughterboard_Mono_Davies_1900H","","2","","","0.80","https://s.click.aliexpress.com/e/_c3w9c93V","1"
"C1","100n","dvhx-kicad-library-2:C_0805","","","","","0.01","","1"
"C2","22n","dvhx-kicad-library-2:C_foil_W7.2H6.5T2.5P5.08D0.45mm","","20","","","0.0319","https://www.lcsc.com/product-detail/C514189.html","1"
"C3","100n","dvhx-kicad-library-2:C_0805","","","","","0.01","","1"
"C4","100u","dvhx-kicad-library-2:C_polarized_D5mm_H12mm_P2mm","","20","16V","","0.0227","https://www.lcsc.com/product-detail/C106552.html","1"
"C5","100n","dvhx-kicad-library-2:C_0805","","","","","0.01","","1"
"C6","220n","dvhx-kicad-library-2:C_foil_W7.2H6.5T2.5P5.08D0.45mm","","10","","","0.0427","https://www.lcsc.com/product-detail/C47917119.html","1"
"C7","68n","dvhx-kicad-library-2:C_foil_W7.2H6.5T2.5P5.08D0.45mm","https://www.lcsc.com/datasheet/C7502427.pdf","10","","","0.0372","https://www.lcsc.com/product-detail/C7502427.html","1"
"C8","8n2","dvhx-kicad-library-2:C_foil_W7.2H6.5T2.5P5.08D0.45mm","https://www.lcsc.com/datasheet/C22439712.pdf","10","","","0.0253","https://www.lcsc.com/product-detail/C22439712.html","1"
"C9","2u2","dvhx-kicad-library-2:C_polarized_D4H7P2D0.45mm","","20","16V","","0.0214","https://www.lcsc.com/product-detail/C216310.html","1"
"C10","1u","dvhx-kicad-library-2:C_polarized_D4H7P2D0.45mm","","50","16V","","0.0160","https://www.lcsc.com/product-detail/C216323.html","1"
"C11","22n","dvhx-kicad-library-2:C_foil_W7.2H6.5T2.5P5.08D0.45mm","","20","","","0.0319","https://www.lcsc.com/product-detail/C514189.html","1"
"C12","22n","dvhx-kicad-library-2:C_foil_W7.2H6.5T2.5P5.08D0.45mm","","20","","","0.0319","https://www.lcsc.com/product-detail/C514189.html","1"
"C13","1u","dvhx-kicad-library-2:C_polarized_D4H7P2D0.45mm","","50","16V","","0.0160","https://www.lcsc.com/product-detail/C216323.html","1"
"C14","100n","dvhx-kicad-library-2:C_0805","","","","","0.01","","1"
"C15","100n","dvhx-kicad-library-2:C_0805","","","","","0.01","","1"
"C16","100n","dvhx-kicad-library-2:C_0805","","","","","0.01","","1"
"C17","100n","dvhx-kicad-library-2:C_0805","","","","","0.01","","1"
"C18","100n","dvhx-kicad-library-2:C_0805","","","","","0.01","","1"
"C19","100n","dvhx-kicad-library-2:C_0805","","","","","0.01","","1"
"C20","100n","dvhx-kicad-library-2:C_0805","","","","","0.01","","1"
"C21","10u","dvhx-kicad-library-2:C_0805","","","","","0.05","","1"
"C22","1u","dvhx-kicad-library-2:C_0603","","","","","DNI","","1"
"C99","330u","dvhx-kicad-library-2:C_polarized_D6.35mm_H15mm_P2.54mm","","5","","","0.0710","https://www.lcsc.com/product-detail/C442821.html","1"
"D1","1N34A (THT alternative)","dvhx-kicad-library-2:D_DO-35_cathode_down","","","","","DNI","","1"
"D3","MBR0540","dvhx-kicad-library-2:D_SOD-123","https://www.lcsc.com/datasheet/C18199087.pdf","50","","","0.0127","https://www.lcsc.com/product-detail/C22378362.html","1"
"D4","1N4148","dvhx-kicad-library-2:D_SOD-323-V3","https://www.lcsc.com/datasheet/C437156.pdf","50","","","0.0065","https://www.lcsc.com/product-detail/C437156.html","1"
"D5","1N4148","dvhx-kicad-library-2:D_SOD-323-V3","https://www.lcsc.com/datasheet/C437156.pdf","50","","","0.0065","https://www.lcsc.com/product-detail/C437156.html","1"
"D6","1N4148","dvhx-kicad-library-2:D_SOD-323-V3","https://www.lcsc.com/datasheet/C437156.pdf","50","","","0.0065","https://www.lcsc.com/product-detail/C437156.html","1"
"D98","BLUE","dvhx-kicad-library-2:D_LED_3mm","https://www.lcsc.com/datasheet/C2895475.pdf","20","","","0.0269","https://www.lcsc.com/product-detail/C2895475.html","1"
"D99","RED","dvhx-kicad-library-2:D_LED_3mm","https://www.lcsc.com/datasheet/C2895471.pdf","20","","","0.0251","https://www.lcsc.com/product-detail/C2895471.html","1"
"Decay1","1MC","dvhx-kicad-library-2:P_Daughterboard_Mono_Davies_1900H","","2","","","0.80","https://s.click.aliexpress.com/e/_c3w9c93V","1"
"ExtraCostJLCPCB1","ExtraCost","","","1","","","8.74","https://jlcpcb.com/","1"
"ExtraCostLCSCShipping1","ExtraCost","","","1","","","8.46","https://lcsc.com/","1"
"ExtraCostSprayPaint1","ExtraCost","","","1","","1/4","8.90","local paint shop","1"
"ExtraCostTopSticker1","ExtraCost","","","1","","","8.76","local print shop","1"
"Hole1","Hole","dvhx-kicad-library-2:Hole_M2_isolated","","","","","DNI","","1"
"Hole2","Hole","dvhx-kicad-library-2:Hole_M2_isolated","","","","","DNI","","1"
"Hole4","Hole","dvhx-kicad-library-2:Hole_M2_isolated","","","","","DNI","","1"
"J1","Header_1x3_male","dvhx-kicad-library-2:Header_1x3_male_bent","https://www.lcsc.com/datasheet/C74252.pdf","5","","3/40","0.162","https://www.lcsc.com/product-detail/C74252.html","1"
"J2","Header_1x3_male","dvhx-kicad-library-2:Header_1x3_male_bent","https://www.lcsc.com/datasheet/C74252.pdf","5","","3/40","0.162","https://www.lcsc.com/product-detail/C74252.html","1"
"J3","Header_1x5_male","dvhx-kicad-library-2:Header_1x5_male_upright","","","","","DNI","","1"
"J4","Header_1x3_male","dvhx-kicad-library-2:Header_1x3_male_bent","https://www.lcsc.com/datasheet/C74252.pdf","5","","3/40","0.162","https://www.lcsc.com/product-detail/C74252.html","1"
"J5","Header_1x3_male","dvhx-kicad-library-2:Header_1x3_male_bent","https://www.lcsc.com/datasheet/C74252.pdf","5","","3/40","0.162","https://www.lcsc.com/product-detail/C74252.html","1"
"JDC1","Connector_DC_jack_3pin","dvhx-kicad-library-2:Connector_DC_005_2.0","https://www.lcsc.com/datasheet/C16214.pdf","10","Center negative","","0.0456","https://www.lcsc.com/product-detail/C16214.html","1"
"JGND1","Keystone_590","dvhx-kicad-library-2:Keystone_590","https://www.lcsc.com/datasheet/C3029553.pdf","5","","","0.1585","https://www.lcsc.com/product-detail/C3029553.html","1"
"JIN1","Connector_Jack_6.35mm_female_stereo","dvhx-kicad-library-2:Connector_Jack_6.35mm_female_stereo","https://www.lcsc.com/datasheet/C309277.pdf","1","","","0.4571","https://www.lcsc.com/product-detail/C309277.html","1"
"JOUT1","Connector_Jack_6.35mm_female_stereo","dvhx-kicad-library-2:Connector_Jack_6.35mm_female_stereo","https://www.lcsc.com/datasheet/C309277.pdf","1","","","0.4571","https://www.lcsc.com/product-detail/C309277.html","1"
"Lightpipe1","Lightpipe","","","10","","","0.285","https://www.aliexpress.com/item/1005010409920827.html","1"
"Lightpipe2","Lightpipe","","","10","","","0.285","https://www.aliexpress.com/item/1005010409920827.html","1"
"ModelEnclosure125B1","Model","dvhx-kicad-library-2:Enclosure_125B","","1","","","7.85","https://s.click.aliexpress.com/e/_c33GoZ8r","1"
"Q2","MMBF5457","dvhx-kicad-library-2:SOT23-DSG","https://www.lcsc.com/datasheet/C2830807.pdf","5","SMD version of 2N5457","","0.2877","https://www.lcsc.com/product-detail/C2830807.html","1"
"Q3","BC850C","dvhx-kicad-library-2:SOT23-BEC","https://www.lcsc.com/datasheet/C21714249.pdf","50","","","0.0108","https://www.lcsc.com/product-detail/C21714249.html","1"
"Q4","BC850C","dvhx-kicad-library-2:SOT23-BEC","https://www.lcsc.com/datasheet/C21714249.pdf","50","","","0.0108","https://www.lcsc.com/product-detail/C21714249.html","1"
"Q99","AO3401","dvhx-kicad-library-2:SOT23-GSD","https://www.lcsc.com/datasheet/C42421810.pdf","20","","","0.0189","https://www.lcsc.com/product-detail/C42421810.html","1"
"R1","100","dvhx-kicad-library-2:R_0805","","","","","0.01","","1"
"R2","1k","dvhx-kicad-library-2:R_0603","","","","","DNI","","1"
"R3","200k","dvhx-kicad-library-2:R_0603","","","","","DNI","","1"
"R4","10k","dvhx-kicad-library-2:R_0805","","","","","0.01","","1"
"R5","10k","dvhx-kicad-library-2:R_0805","","","","","0.01","","1"
"R6","1M","dvhx-kicad-library-2:R_0805","","","","","0.01","","1"
"R7","1M","dvhx-kicad-library-2:R_0805","","","","","0.01","","1"
"R8","5k1","dvhx-kicad-library-2:R_0603","","","","","DNI","","1"
"R9","47k","dvhx-kicad-library-2:R_0805","","","","","0.01","","1"
"R10","47k","dvhx-kicad-library-2:R_0805","","","","","0.01","","1"
"R11","22k","dvhx-kicad-library-2:R_0805","","","","","0.01","","1"
"R12","22k","dvhx-kicad-library-2:R_0805","","","","","0.01","","1"
"R13","10k/22k","dvhx-kicad-library-2:R_0805","","","","","0.01","","1"
"R14","10k","dvhx-kicad-library-2:R_0805","","","","","0.01","","1"
"R15","4M7","dvhx-kicad-library-2:R_0805","","","","","0.01","","1"
"R16","4M7","dvhx-kicad-library-2:R_0805","","","","","0.01","","1"
"R17","22k","dvhx-kicad-library-2:R_0805","","","","","0.01","","1"
"R18","330R","dvhx-kicad-library-2:R_0805","","","","","0.01","","1"
"R19","4k7","dvhx-kicad-library-2:R_0805","","","","","0.01","","1"
"R20","7k9","dvhx-kicad-library-2:R_0805","","","","","0.01","","1"
"R21","4k7/6k8","dvhx-kicad-library-2:R_0805","","","","","0.01","","1"
"R22","5k1","dvhx-kicad-library-2:R_0805","","","","","0.01","","1"
"R23","330R","dvhx-kicad-library-2:R_0805","","","","","0.01","","1"
"R24","330R","dvhx-kicad-library-2:R_0805","","","","","0.01","","1"
"R25","330R","dvhx-kicad-library-2:R_0805","","","","","0.01","","1"
"R26","330R","dvhx-kicad-library-2:R_0805","","","","","0.01","","1"
"R27","4k7","dvhx-kicad-library-2:R_0805","","","","","0.01","","1"
"R28","4k7","dvhx-kicad-library-2:R_0805","","","","","0.01","","1"
"R29","4k7/6k8","dvhx-kicad-library-2:R_0805","","","","","0.01","","1"
"R30","4k7/6k8","dvhx-kicad-library-2:R_0805","","","","","0.01","","1"
"R31","4k7/6k8","dvhx-kicad-library-2:R_0805","","","","","0.01","","1"
"R32","1k","dvhx-kicad-library-2:R_0805","","","","","0.01","","1"
"R33","100k","dvhx-kicad-library-2:R_0805","","","","","0.01","","1"
"R34","5k1","dvhx-kicad-library-2:R_0603","","","","","DNI","","1"
"R96","0R~47R","dvhx-kicad-library-2:R_0805","","","","","0.01","","1"
"R97","22k","dvhx-kicad-library-2:R_0805","","","","","0.01","","1"
"R98","4k7","dvhx-kicad-library-2:R_0805","","","","","0.01","","1"
"R99","100k","dvhx-kicad-library-2:R_0805","","","","","0.01","","1"
"Res1","50kB","dvhx-kicad-library-2:P_Daughterboard_Mono_Davies_1900H","","2","","","0.80","https://s.click.aliexpress.com/e/_c3w9c93V","1"
"Sens1","100kB","dvhx-kicad-library-2:P_Daughterboard_Mono_Davies_1900H","","2","","","0.80","https://s.click.aliexpress.com/e/_c3w9c93V","1"
"SW99","Switch_3P2T","dvhx-kicad-library-2:Switch_3PDT","","1","","","2.13","https://s.click.aliexpress.com/e/_c2vpDqzN","1"
"TP1","Test_point_D1.5_H0.5","dvhx-kicad-library-2:Test_point_1.5mm_H0.5mm","","","+9V","","DNI","","1"
"TP2","Test_point_loop","dvhx-kicad-library-2:Test_point_loop_2.54mm","","","GND","","0.01","","1"
"TP3","Test_point_D1.5_H0.5","dvhx-kicad-library-2:Test_point_1.5mm_H0.5mm","","","+5V","","DNI","","1"
"TP4","Test_point_D1.5_H0.5","dvhx-kicad-library-2:Test_point_1.5mm_H0.5mm","","","IN","","DNI","","1"
"TP5","Test_point_D1.5_H0.5","dvhx-kicad-library-2:Test_point_1.5mm_H0.5mm","","","BUF","","DNI","","1"
"TP6","Test_point_D1.5_H0.5","dvhx-kicad-library-2:Test_point_1.5mm_H0.5mm","","","VG","","DNI","","1"
"TP7","Test_point_D1.5_H0.5","dvhx-kicad-library-2:Test_point_1.5mm_H0.5mm","","","SEN","","DNI","","1"
"TP8","Test_point_D1.5_H0.5","dvhx-kicad-library-2:Test_point_1.5mm_H0.5mm","","","ED1","","DNI","","1"
"TP9","Test_point_D1.5_H0.5","dvhx-kicad-library-2:Test_point_1.5mm_H0.5mm","","","DEC","","DNI","","1"
"TP10","Test_point_D1.5_H0.5","dvhx-kicad-library-2:Test_point_1.5mm_H0.5mm","","","ED4","","DNI","","1"
"TP11","Test_point_D1.5_H0.5","dvhx-kicad-library-2:Test_point_1.5mm_H0.5mm","","","VCF1","","DNI","","1"
"TP12","Test_point_D1.5_H0.5","dvhx-kicad-library-2:Test_point_1.5mm_H0.5mm","","","VCF2","","DNI","","1"
"TP13","Test_point_D1.5_H0.5","dvhx-kicad-library-2:Test_point_1.5mm_H0.5mm","","","OUT","","DNI","","1"
"TP14","Test_point_D1.5_H0.5","dvhx-kicad-library-2:Test_point_1.5mm_H0.5mm","","","JIN","","DNI","","1"
"TP15","Test_point_D1.5_H0.5","dvhx-kicad-library-2:Test_point_1.5mm_H0.5mm","","","JOUT","","DNI","","1"
"TP16","Test_point_D1.5_H0.5","dvhx-kicad-library-2:Test_point_1.5mm_H0.5mm","","","EDIN","","DNI","","1"
"TP17","Test_point_D1.5_H0.5","dvhx-kicad-library-2:Test_point_1.5mm_H0.5mm","","","ED2","","DNI","","1"
"U1","USB_C","dvhx-kicad-library-2:USB_C_Receptacle_HRO_TYPE-C-31-M-12","https://www.lcsc.com/datasheet/lcsc_datasheet_2205251630_Korean-Hroparts-Elec-TYPE-C-31-M-12_C165948.pdf","","","","DNI","","1"
"U2","OPA197IDBV","dvhx-kicad-library-2:SOT23-5-OGPNV-V2","https://www.lcsc.com/datasheet/C221351.pdf","1","","","0.9670","https://www.lcsc.com/product-detail/C131929.html","1"
"U3","OPA197IDBV","dvhx-kicad-library-2:SOT23-5-OGPNV-V2","https://www.lcsc.com/datasheet/C221351.pdf","1","","","0.9670","https://www.lcsc.com/product-detail/C131929.html","1"
"U4","78L05","dvhx-kicad-library-2:SOT-89-3-OGI","https://www.lcsc.com/datasheet/C347258.pdf","20","","","0.0263","https://www.lcsc.com/product-detail/C347258.html","1"
"U5","LM13700","Package_SO:SOP-16_4.4x10.4mm_P1.27mm","https://www.lcsc.com/datasheet/C174050.pdf","1","","","0.5467","https://www.lcsc.com/product-detail/C174050.html","1"
"U6","OPA197IDBV","dvhx-kicad-library-2:SOT23-5-OGPNV-V2","https://www.lcsc.com/datasheet/C221351.pdf","1","","","0.9670","https://www.lcsc.com/product-detail/C131929.html","1"
"U7","OPA197IDBV","dvhx-kicad-library-2:SOT23-5-OGPNV-V2","https://www.lcsc.com/datasheet/C221351.pdf","1","","","0.9670","https://www.lcsc.com/product-detail/C131929.html","1"
"U8","CH221K","dvhx-kicad-library-2:SOT23-6","https://www.lcsc.com/datasheet/C5125736.pdf","","","","DNI","","1"
"U99","9V (JST-XH)","dvhx-kicad-library-2:Battery_JST_XH_female_2pin","https://www.lcsc.com/datasheet/C158012.pdf","20","","","0.0324","https://www.lcsc.com/product-detail/C158012.html","1"
"ZD99","3~10V","dvhx-kicad-library-2:D_SOD-323-V3","https://www.lcsc.com/datasheet/C22399885.pdf","50","","","0.0140","https://www.lcsc.com/product-detail/C22399885.html","1"
